"age","chronicCondition","state","prevalence","gender","year"
"All","Alzheimer's Disease/Dementia","National ",8.09,"Male","2007"
"All","Alzheimer's Disease/Dementia","Alabama ",7.85,"Male","2007"
"All","Alzheimer's Disease/Dementia","Alaska ",5.86,"Male","2007"
"All","Alzheimer's Disease/Dementia","Arizona ",5.89,"Male","2007"
"All","Alzheimer's Disease/Dementia","Arkansas ",8.32,"Male","2007"
"All","Alzheimer's Disease/Dementia","California ",7.67,"Male","2007"
"All","Alzheimer's Disease/Dementia","Colorado ",7.21,"Male","2007"
"All","Alzheimer's Disease/Dementia","Connecticut ",9.78,"Male","2007"
"All","Alzheimer's Disease/Dementia","Delaware ",7.1,"Male","2007"
"All","Alzheimer's Disease/Dementia","District of Columbia ",9.38,"Male","2007"
"All","Alzheimer's Disease/Dementia","Florida ",8.57,"Male","2007"
"All","Alzheimer's Disease/Dementia","Georgia ",7.78,"Male","2007"
"All","Alzheimer's Disease/Dementia","Hawaii ",8.24,"Male","2007"
"All","Alzheimer's Disease/Dementia","Idaho ",6.18,"Male","2007"
"All","Alzheimer's Disease/Dementia","Illinois ",8.35,"Male","2007"
"All","Alzheimer's Disease/Dementia","Indiana ",7.76,"Male","2007"
"All","Alzheimer's Disease/Dementia","Iowa ",7.67,"Male","2007"
"All","Alzheimer's Disease/Dementia","Kansas ",8.36,"Male","2007"
"All","Alzheimer's Disease/Dementia","Kentucky ",6.76,"Male","2007"
"All","Alzheimer's Disease/Dementia","Louisiana ",7.87,"Male","2007"
"All","Alzheimer's Disease/Dementia","Maine ",6.82,"Male","2007"
"All","Alzheimer's Disease/Dementia","Maryland ",8.63,"Male","2007"
"All","Alzheimer's Disease/Dementia","Massachusetts ",8.94,"Male","2007"
"All","Alzheimer's Disease/Dementia","Michigan ",8.48,"Male","2007"
"All","Alzheimer's Disease/Dementia","Minnesota ",6.79,"Male","2007"
"All","Alzheimer's Disease/Dementia","Mississippi ",7.44,"Male","2007"
"All","Alzheimer's Disease/Dementia","Missouri ",8.21,"Male","2007"
"All","Alzheimer's Disease/Dementia","Montana ",6.94,"Male","2007"
"All","Alzheimer's Disease/Dementia","Nebraska ",7.52,"Male","2007"
"All","Alzheimer's Disease/Dementia","Nevada ",5.94,"Male","2007"
"All","Alzheimer's Disease/Dementia","New Hampshire ",7.9,"Male","2007"
"All","Alzheimer's Disease/Dementia","New Jersey ",9.88,"Male","2007"
"All","Alzheimer's Disease/Dementia","New Mexico ",6.69,"Male","2007"
"All","Alzheimer's Disease/Dementia","New York ",9.25,"Male","2007"
"All","Alzheimer's Disease/Dementia","North Carolina ",7.46,"Male","2007"
"All","Alzheimer's Disease/Dementia","North Dakota ",8.16,"Male","2007"
"All","Alzheimer's Disease/Dementia","Ohio ",8.72,"Male","2007"
"All","Alzheimer's Disease/Dementia","Oklahoma ",7.51,"Male","2007"
"All","Alzheimer's Disease/Dementia","Oregon ",6.34,"Male","2007"
"All","Alzheimer's Disease/Dementia","Pennsylvania ",9.04,"Male","2007"
"All","Alzheimer's Disease/Dementia","Puerto Rico ",9.74,"Male","2007"
"All","Alzheimer's Disease/Dementia","Rhode Island ",8.36,"Male","2007"
"All","Alzheimer's Disease/Dementia","South Carolina ",7.11,"Male","2007"
"All","Alzheimer's Disease/Dementia","South Dakota ",6.91,"Male","2007"
"All","Alzheimer's Disease/Dementia","Tennessee ",7.92,"Male","2007"
"All","Alzheimer's Disease/Dementia","Texas ",8.79,"Male","2007"
"All","Alzheimer's Disease/Dementia","Utah ",6.99,"Male","2007"
"All","Alzheimer's Disease/Dementia","Vermont ",6.73,"Male","2007"
"All","Alzheimer's Disease/Dementia","Virgin Islands ",4.11,"Male","2007"
"All","Alzheimer's Disease/Dementia","Virginia ",8.02,"Male","2007"
"All","Alzheimer's Disease/Dementia","Washington ",7.13,"Male","2007"
"All","Alzheimer's Disease/Dementia","West Virginia ",6.35,"Male","2007"
"All","Alzheimer's Disease/Dementia","Wisconsin ",8.02,"Male","2007"
"All","Alzheimer's Disease/Dementia","Wyoming ",6.09,"Male","2007"
"All","Alzheimer's Disease/Dementia","Unknown ",3.23,"Male","2007"
"All","Arthritis","National ",19.51,"Male","2007"
"All","Arthritis","Alabama ",20.97,"Male","2007"
"All","Arthritis","Alaska ",14.76,"Male","2007"
"All","Arthritis","Arizona ",17.96,"Male","2007"
"All","Arthritis","Arkansas ",18.18,"Male","2007"
"All","Arthritis","California ",19.08,"Male","2007"
"All","Arthritis","Colorado ",18,"Male","2007"
"All","Arthritis","Connecticut ",17.99,"Male","2007"
"All","Arthritis","Delaware ",20.85,"Male","2007"
"All","Arthritis","District of Columbia ",14.19,"Male","2007"
"All","Arthritis","Florida ",22.74,"Male","2007"
"All","Arthritis","Georgia ",18.75,"Male","2007"
"All","Arthritis","Hawaii ",12.18,"Male","2007"
"All","Arthritis","Idaho ",17.74,"Male","2007"
"All","Arthritis","Illinois ",20.55,"Male","2007"
"All","Arthritis","Indiana ",19.88,"Male","2007"
"All","Arthritis","Iowa ",18.48,"Male","2007"
"All","Arthritis","Kansas ",21.8,"Male","2007"
"All","Arthritis","Kentucky ",20.04,"Male","2007"
"All","Arthritis","Louisiana ",19.92,"Male","2007"
"All","Arthritis","Maine ",17.7,"Male","2007"
"All","Arthritis","Maryland ",19.38,"Male","2007"
"All","Arthritis","Massachusetts ",18.46,"Male","2007"
"All","Arthritis","Michigan ",20.96,"Male","2007"
"All","Arthritis","Minnesota ",15.39,"Male","2007"
"All","Arthritis","Mississippi ",18.75,"Male","2007"
"All","Arthritis","Missouri ",22.61,"Male","2007"
